Time,CasingPressure,FlowRate,LinePressure,StaticPressure,TubingPressure,Qmin
1443086501,514.516,1004.076,289.291,258.55,256.871,105.076
1443086680,514.791,1072.255,291.027,257.892,257.512,105.255
1443086859,514.699,1065.677,292.946,258.081,258.52,105.677
1443087038,514.974,1098.394,293.22,257.967,259.802,105.394
1443087218,515.249,1042.332,293.951,257.673,260.718,105.332
1443087402,515.157,1125.074,294.225,258.449,261.268,105.074
1443087582,515.523,1035.768,293.951,258.777,262.001,105.768
1443087761,515.798,1094.191,293.768,258.364,263.008,105.191
1443087939,515.707,1096.313,293.586,259.145,263.283,105.313
1443088119,515.89,1041.47,293.768,259.422,264.199,105.47
1443088298,515.981,1037.057,294.773,259.396,264.749,105.057
1443088478,516.164,1109.21,296.692,260.129,265.207,105.21
1443088662,516.439,1043.344,296.053,260.048,266.215,105.344
1443088841,516.531,1070.947,296.144,259.974,266.764,104.947
1443089020,516.439,1063.496,295.779,260.519,267.772,105.496
1443089199,516.531,1008.322,296.053,261.348,268.505,105.322
1443089378,516.806,1030.832,295.87,261.265,269.146,105.832
1443089557,516.897,1016.357,295.779,261.171,269.971,105.357
1443089737,516.989,1004.949,295.504,261.517,270.245,104.949
1443089921,517.172,1012.323,295.413,261.712,271.253,105.323
1443090100,517.264,1034.874,295.23,262.66,272.169,104.874
1443090279,517.538,1025.599,294.956,263.86,273.177,105.599
1443090459,517.447,1032.539,294.499,264.067,273.818,105.539
1443090638,517.721,999.449,294.773,266.035,274.643,105.449
1443090818,517.996,1062.533,294.134,266.79,275.467,105.533
1443091001,517.904,1029.223,294.682,266.861,276.292,105.223
1443091180,518.179,1031.461,293.768,268.001,277.024,105.461
1443091360,518.546,1049.337,293.951,269.644,277.941,105.337
1443091539,518.454,1052.916,293.768,270.185,278.216,104.916
1443091718,518.729,996.517,293.22,271.305,278.765,105.517
1443091897,518.912,1026.06,293.037,271.473,279.773,105.06
1443092077,519.187,1039.43,293.311,272.688,280.689,105.43
1443092260,519.462,1015.514,293.22,273.29,281.422,105.514
1443092440,519.553,1022.5,293.494,273.675,282.43,105.5
1443092619,519.736,974.107,294.134,274.89,282.796,105.107
1443092798,520.011,1014.619,294.499,275.817,283.254,105.619
1443092977,519.736,968.509,293.951,276.416,283.162,105.509
1443093162,520.011,958.307,294.042,277.256,282.43,105.307
1443093342,520.286,966.125,294.225,278.037,282.704,105.125
1443093521,520.194,984.67,294.956,279.108,282.246,105.67
1443093700,520.469,1000.162,295.413,280.289,281.697,105.162
1443093879,520.561,967.844,295.687,280.935,281.055,104.844
1443094058,520.652,988.442,295.504,281.607,280.964,105.442
1443094237,520.744,964.189,295.596,282.134,281.055,105.189
1443094422,520.927,998.151,295.504,283.012,280.414,105.151
1443094601,521.018,962.313,295.23,282.857,280.231,105.313
1443094780,521.202,1006.928,295.504,284.114,280.048,104.928
1443094959,521.385,1033.527,295.779,285.008,280.414,105.527
1443095151,521.202,984.337,296.053,285.349,279.773,105.337
1443095318,521.476,996.684,295.779,286.295,279.223,105.684
1443095497,521.751,979.303,296.51,286.869,279.498,105.303
1443095681,521.843,1023.199,296.784,287.032,278.948,105.199
1443095860,521.751,991.945,297.058,288.193,278.49,104.945
1443096040,522.026,1006.334,297.149,288.68,278.765,105.334
1443096219,522.209,1008.085,297.241,288.806,278.49,105.085
1443096761,522.484,1021.545,297.423,288.566,277.849,105.545
1443096941,522.759,992.904,297.789,288.793,277.941,104.904
1443097120,523.033,1023.649,298.246,288.489,277.483,105.649
1443097299,523.216,960.817,298.52,288.579,277.024,105.817
1443097478,523.491,995.42,298.246,287.863,277.299,105.42
1443097658,523.766,1037.382,298.794,287.115,276.292,105.382
1443097842,524.041,1051.603,299.068,287.433,276.475,105.603
1443098021,524.224,1016.026,298.885,286.216,276.017,105.026
1443098202,524.499,1025.502,299.525,286.799,276.2,105.502
1443098381,524.773,983.5,299.708,286.27,275.467,105.5
1443098558,525.048,1008.046,299.982,285.419,275.284,105.046
1443098737,525.231,966.729,300.073,284.795,275.009,105.729
1443098922,525.506,1016.446,300.347,285.732,274.734,105.446
1443099101,525.781,947.021,300.073,286.372,274.459,105.021
1443099280,526.056,995.41,299.525,286.619,273.727,105.41
1443099460,526.33,990.024,300.53,287.652,274.002,105.024
1443099639,526.513,1000.414,300.987,288.165,273.452,105.414
1443099818,526.788,973.892,301.627,287.877,273.727,104.892
1443099997,527.063,990.955,301.718,287.652,273.452,104.955
1443100181,526.788,942.648,301.17,287.356,273.177,105.648
1443100361,527.338,969.601,301.444,287.557,272.902,105.601
